economy,FM.LBL.BMNY.ZG,NY.GDP.DEFL.KD.ZG
ABW,4.39808997235486,6.01781789080067
AFE,,4.44437946494116
AFG,5.70436037333887,6.52147984832531
AFW,,1.35862850854981
AGO,30.1141180539418,19.1870038271785
ALB,4.31363862893848,1.00063285556122
AND,,1.37475350829189
ARB,,1.60682389220305
ARE,8.00454284211942,-3.19440940446903
ARG,25.8841473655566,49.1955790596612
ARM,11.1840879458318,1.06562263923419
ASM,,1.74828930007058
ATG,-0.448755227442753,0.712335041612306
AUS,14.0595331869537,3.46820261012924
AUT,,1.47368502823586
AZE,19.9743743253522,-0.221652923789676
BDI,22.5511384369432,0.851867434051655
BEL,,1.85424076568934
BEN,6.01152739985355,-0.39755379308734
BFA,9.09412482713924,0.51290051556127
BGD,11.9052656804273,3.65813755162172
BGR,9.88239152075389,5.23548704810747
BHR,,0.164802199458762
BHS,10.5930845635204,4.4475744235402
BIH,8.85292220454074,2.47150468459363
BLR,12.2054825418902,8.5769890965353
BLZ,4.64126778176854,-0.11783540640397
BMU,,2.41849453612733
BOL,-1.56148160705353,-0.693003271755344
BRA,8.13626147855922,4.22425886342708
BRB,2.96304016937077,2.14644727501501
BRN,4.26895996246336,-3.33372764830381
BTN,12.4264740808004,3.10800837414914
BWA,7.9900812674095,0.508004124173738
CAF,8.91638772582545,2.32783705140642
CAN,,1.54607073393581
CEB,,3.8226798680774
CHE,,-0.103895024279751
CHI,,2.95476644134244
CHL,12.1600547005451,2.56778721379496
CHN,8.8822790596896,1.31550650702985
CIV,10.7609813744002,1.98335249260808
CMR,,1.16977181911541
COD,,5.89540537440325
COG,13.999202619855,-1.31736650195613
COL,8.8516579089004,4.00262054293638
COM,5.90669993633773,2.33065495555907
CPV,8.44815168748445,0.694871191088424
CRI,4.03912134162318,2.56679211742168
CSS,,2.21003640142904
CUB,,3.54474299448344
CUW,,2.62590050743201
CYM,,3.39631203940991
CYP,,1.35008643696904
CZE,6.3584150761505,3.8413178989087
DEU,,2.01597612276328
DJI,8.78066001207737,0.449845161500079
DMA,-11.7841644855541,-1.34582555877566
DNK,5.80775708036393,0.950878606508979
DOM,11.6688562177909,3.59545070493974
DZA,-0.757531112520278,0.882992828847023
EAP,,1.49948619479095
EAR,,3.10800837414914
EAS,,1.49948619479095
ECA,,3.82718214785177
ECS,,2.34320884568132
ECU,8.85497141291489,-0.0565742583910378
EGY,13.2785108458676,13.6180959109963
EMU,,1.92131129927328
ERI,,
ESP,,1.42867123652391
EST,,3.8226798680774
ETH,,12.8604326413094
EUU,,2.33858654999968
FCS,,3.97214622860132
FIN,,1.48185903627636
FJI,3.17848666934834,1.54802217635034
FRA,,1.21052308336793
FRO,,3.49989705671146
FSM,1.01198974625219,-3.4313725490196
GAB,1.3637975449945,1.54748519798422
GBR,-1.36415811942606,2.13295139419517
GEO,17.5590516630325,3.99568034557234
GHA,21.3545895341093,8.48107029698721
GIB,,
GIN,23.4056752516729,9.40290766328131
GMB,27.0109180481329,6.25220639943007
GNB,0.253175206696849,2.15004688552744
GNQ,-7.26256983240224,-3.16368983363937
GRC,,0.245015781395267
GRD,-2.02960034005418,3.32753294754764
GRL,,0.744863000194002
GTM,8.75010633227025,3.56578287211866
GUM,,2.43881496389949
GUY,14.379729597693,2.96118846307267
HIC,,1.85424076568934
HKG,4.81219363571778,2.04492054639704
HND,10.2715325016223,3.35874088466439
HPC,,2.96118846307267
HRV,,1.98838183285723
HTI,13.7316262348661,19.8003879006213
HUN,8.14996704366379,4.75293653395626
IBD,,2.37667415121405
IBT,,2.56728966560832
